ECG,Heart Rate
0.230408,82
0.232544,82
0.234985,82
0.237122,82
0.239258,82
0.241699,82
0.24353,82
0.245361,82
0.246582,82
0.247498,82
0.248108,82
0.248413,82
0.248413,82
0.248413,82
0.248413,82
0.248718,82
0.248718,82
0.249023,82
0.249023,82
0.248718,82
0.248413,82
0.247498,82
0.246277,82
0.244751,82
0.242615,82
0.240479,82
0.238037,82
0.235291,82
0.232544,82
0.229492,82
0.22644,82
0.223083,82
0.219116,82
0.215149,82
0.210571,82
0.205688,82
0.2005,82
0.194702,82
0.189209,82
0.183716,82
0.177917,82
